case,score1,score2
1,26.35,29.759999999999998
2,32.24,30.69
3,28.52,13.33
4,23.56,28.21
5,30.380000000000003,31.619999999999997
6,28.21,20.77
7,31.619999999999997,20.77
8,44.64,32.86
9,34.1,30.69
10,30.380000000000003,24.490000000000002
11,34.72,31.930000000000003
12,22.009999999999998,29.759999999999998
13,35.34,31.930000000000003
14,32.550000000000004,30.69
15,37.2,33.17
16,32.86,39.37
17,35.34,35.34
18,36.580000000000005,33.17
19,26.97,17.67
20,18.91,30.69
21,13.950000000000001,24.18
22,23.25,27.590000000000003
23,31,22.009999999999998
24,35.34,31.31
25,47.12,34.72
26,37.2,32.86
27,38.75,35.03
28,32.86,29.45
29,35.34,31
30,41.230000000000004,58.28
31,25.419999999999998,29.14
32,38.13,34.41
33,27.590000000000003,16.740000000000002
34,32.550000000000004,28.52
35,32.24,29.14
36,32.550000000000004,31.31
37,29.759999999999998,31
38,30.380000000000003,30.69
39,47.74,43.09
40,39.06,31.31
41,37.51,31.619999999999997
42,31,28.830000000000002
43,34.41,31
44,37.82,26.66
45,38.440000000000005,33.17
46,40.61,30.69
47,39.06,32.550000000000004
48,44.330000000000005,32.86
49,35.65,34.41
50,23.25,28.21
51,30.69,25.11
52,39.99,36.269999999999996
53,34.72,29.45
54,30.07,28.830000000000002
55,27.280000000000005,28.830000000000002
56,33.17,31
57,33.480000000000004,26.97
58,34.41,35.34
59,42.47,55.18000000000001
60,33.79,39.68000000000001
